sequence	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
OTU62	-0.5228787452803376	0.3979400086720376	-0.42021640338318983	37	35.1	7.5	4144545.779	28.625	3692.926	11.333	88.612	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU63	-0.6020599913279624	0.33243845991560533	-0.3565473235138126	37	34.75	6.8	6687116.12	42.024	4803.75	5	70	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU64	-0.09691001300805639	0.17609125905568124	-0.3565473235138126	36	37	7	5430286.285	42.36	4347.273	6	72.714	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU65	-0.4377071355435253	-0.22184874961635637	-0.2006594505464183	37	37	7	3734239.2	56.6	3103	2	48	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0
OTU66	-0.09691001300805639	-0.09691001300805639	1.021189299069938	37	37	7	3861016	40.1	3210.4	5	59	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU67	-0.09691001300805639	0.3979400086720376	0.25527250510330607	37	36	5.35	3185562	42.55	2798	5	72	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU68	-0.045757490560675115	0.2304489213782739	-0.3565473235138126	37	37	6.65	6966533.2	42.8	5306	4	63	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU69	-0.5228787452803376	0.2787536009528289	0.0	37	37	6.75	2831389.167	38.053	2654.667	5	47	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU70	-0.5228787452803376	-0.5228787452803376	0.26245108973042947	37	37	7	1980873	42.925	1848	4	48	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0
OTU71	0.17609125905568124	0.3979400086720376	-0.2839966563652008	37	37	5.35	3653762	27.7	2513	9	87	1	1	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU72	-0.22184874961635637	0.5440680443502757	0.0	37	22.5	6.75	2925119	38.053	2654.667	5	47	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU73	-0.1549019599857432	-0.1549019599857432	0.07188200730612536	37	39	7	2069992.667	50.6	1933	3	55	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0
OTU74	-0.3010299956639812	-0.5228787452803376	0.07188200730612536	37	37	7.15	3022580	56.239	2678.333	3	63.5	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU75	-0.1549019599857432	-0.1549019599857432	-0.3010299956639812	37	39	7	2321684.25	41.05	1811	3	55	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU76	-0.1549019599857432	0.07918124604762482	0.0	37	34	7	2809530.25	58.295	4698	3	57.25	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU77	0.3010299956639812	0.3010299956639812	0.4913616938342727	43	55	7	3532052	37.5	2566.6	2	52	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0
OTU78	-0.09691001300805639	-0.09691001300805639	0.0	37	37	4.85	3403333	38.4	2964	8	72	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU79	-0.3979400086720376	0.11394335230683678	0.809761665107125	37	34.75	7	3306764.5	50.1	2641	5	54	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU80	-0.3010299956639812	-0.5228787452803376	0.6794278966121189	37	37	7.15	3022580	56.239	2678.333	4	63.5	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU81	-0.09691001300805639	0.17609125905568124	-0.3565473235138126	37	35.5	7	5043373	42.7	3799	5	69	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
